Ingredient,Raw Material,Fish-dominant,Plant-dominant
"Fishmeal, forage fish",Forage fish,22,9
"Fish oil, forage fish ",Forage fish,20,8
"Fishmeal, trimmings",Trimmings ,8,3
"Fish oil, trimmings",Trimmings,5,2
Soybean meal,Soybean,17,0
Soy protein concentrate,Soybean,0,21
Wheat gluten,Wheat,13,10
Guar meal,Pulses,0,4
Corn gluten meal,Maize,4,1
Faba beans,Pulses,2,4
Pea protein concentrate,Pulses,0,1
Sunflower meal,Sunflower,0,3
Canola oil,Rapeseed,0,18
Linseed oil,Other crops,0,1
Soybean oil,Soybean,0,1
Coconut oil,Other crops,0,1
Wheat,Wheat,7,6
Pea flour,Pulses,0,3
Micro-ingredients*,,2,4