"iso3c","rgn_id","Country"
"CCK",1,"Cocos Islands"
"NRU",10,"Nauru"
"COG",100,"Republique du Congo"
"NAM",101,"Namibia"
"ZAF",102,"South Africa"
"STP",103,"Sao Tome and Principe"
"GNQ",104,"Equatorial Guinea"
"BVT",105,"Bouvet Island"
"GHA",106,"Ghana"
"CPT",107,"Clipperton Island"
"BMU",108,"Bermuda"
"MHL",11,"Marshall Islands"
"BHS",110,"Bahamas"
"TCA",111,"Turks and Caicos Islands"
"CUB",112,"Cuba"
"CYM",113,"Cayman Islands"
"HTI",114,"Haiti"
"DOM",115,"Dominican Republic"
"PRI-VIR",116,"Puerto Rico and Virgin Islands of the United States"
"VGB",117,"British Virgin Islands"
"AIA",118,"Anguilla"
"KNA",119,"Saint Kitts and Nevis"
"UMI",12,"Wake Island"
"ATG",120,"Antigua and Barbuda"
"MSR",121,"Montserrat"
"LCA",122,"Saint Lucia"
"DMA",123,"Dominica"
"BRB",124,"Barbados"
"GRD",125,"Grenada"
"TTO",126,"Trinidad and Tobago"
"VCT",127,"Saint Vincent and the Grenadines"
"PAN",129,"Panama"
"MNP",13,"Northern Mariana Islands and Guam"
"CRI",130,"Costa Rica"
"NIC",131,"Nicaragua"
"COL",132,"Colombia"
"HND",133,"Honduras"
"SLV",134,"El Salvador"
"MEX",135,"Mexico"
"GTM",136,"Guatemala"
"ECU",137,"Ecuador"
"PER",138,"Peru"
"VEN",139,"Venezuela"
"TWN",14,"Taiwan"
"GLP-MTQ",140,"Guadeloupe and Martinique"
"FRO",141,"Faeroe Islands"
"ISL",143,"Iceland"
"SJM",144,"Jan Mayen"
"GRL",145,"Greenland"
"PCN",146,"Pitcairn"
"PYF",147,"French Polynesia"
"KIR",148,"Line Group"
"UMI",149,"Jarvis Island"
"PHL",15,"Philippines"
"UMI",150,"Palmyra Atoll"
"ASM",151,"American Samoa"
"WSM",152,"Samoa"
"COK",153,"Cook Islands"
"NIU",154,"Niue"
"TON",155,"Tonga"
"TKL",156,"Tokelau"
"KIR",157,"Phoenix Group"
"UMI",158,"Howland Island and Baker Island"
"UMI",159,"Johnston Atoll"
"AUS",16,"Australia"
"WLF",161,"Wallis and Futuna"
"NZL",162,"New Zealand"
"USA",163,"United States"
"BLZ",164,"Belize"
"XD",255,"DISPUTED"
"JAM",166,"Jamaica"
"GUY",167,"Guyana"
"SUR",168,"Suriname"
"GUF",169,"French Guiana"
"PNG",17,"Papua New Guinea"
"BRA",171,"Brazil"
"ARG",172,"Argentina"
"URY",173,"Uruguay"
"FIN",174,"Finland"
"DNK",175,"Denmark"
"DEU",176,"Germany"
"NLD",177,"Netherlands"
"POL",178,"Poland"
"FRA",179,"France"
"FJI",18,"Fiji"
"GBR",180,"United Kingdom"
"IRL",181,"Ireland"
"ESP",182,"Spain"
"PRT",183,"Portugal"
"ITA",184,"Italy"
"MCO",185,"Monaco"
"MNE",186,"Montenegro"
"HRV",187,"Croatia"
"SVN",188,"Slovenia"
"LTU",189,"Lithuania"
"TUV",19,"Tuvalu"
"QAT",190,"Qatar"
"IRN",191,"Iran"
"IRQ",192,"Iraq"
"GNB",193,"Guinea Bissau"
"GIN",194,"Guinea"
"CIV",195,"Ivory Coast"
"NGA",196,"Nigeria"
"CMR",197,"Cameroon"
"GAB",198,"Gabon"
"COD",199,"Democratic Republic of the Congo"
"CXR",2,"Christmas Island"
"KOR",20,"South Korea"
"AGO",200,"Angola"
"TZA",202,"Tanzania"
"IND",203,"India"
"BGD",204,"Bangladesh"
"MMR",205,"Myanmar"
"MYS",206,"Malaysia"
"VNM",207,"Vietnam"
"SGP",208,"Singapore"
"CHN",209,"China"
"PRK",21,"North Korea"
"JPN",210,"Japan"
"KIR",212,"Kiribati"
"EGY",214,"Egypt"
"JOR",215,"Jordan"
"IDN",216,"Indonesia"
"CAN",218,"Canada"
"SPM",219,"Saint Pierre and Miquelon"
"SXM",220,"Sint Maarten"
"MAF",221,"Northern Saint-Martin"
"SWE",222,"Sweden"
"NOR",223,"Norway"
"CHL",224,"Chile"
"JEY",227,"Jersey"
"GGY",228,"Guernsey"
"TLS",231,"East Timor"
"BIH",232,"Bosnia and Herzegovina"
"TLS",237,"Oecussi Ambeno"
"KHM",24,"Cambodia"
"AZE",258,"Azerbaijan"
"KAZ",257,"Kazakhstan"
"TKM",256,"Turkmenistan"
"CW",244,"Curacao"
"BQ",245,"Bonaire"
"BRN",247,"Brunei"
"BES",248,"Saba"
"ATA",213,"Antarctica"
"ANT",249,"Sint Eustatius"
"THA",25,"Thailand"
"AW",250,"Aruba"
"IND",26,"Andaman and Nicobar"
"HSX",260,"Arctic Sea"
"HSX",261,"Atlantic, Northwest"
"HSX",262,"Atlantic, Northeast"
"HSX",263,"Atlantic, Western-Central"
"HSX",264,"Atlantic, Eastern Central"
"HSX",266,"Atlantic, Southwest"
"HSX",267,"Atlantic, Southeast"
"HSX",269,"Indian Ocean, Western"
"HSX",270,"Indian Ocean, Eastern"
"HSX",272,"Pacific, Northwest"
"HSX",273,"Pacific, Northeast"
"HSX",274,"Pacific, Western Central"
"HSX",275,"Pacific, Eastern Central"
"HSX",276,"Pacific, Southwest"
"HSX",277,"Pacific, Southeast"
"COM",28,"Comoro Islands"
"MYT",29,"Mayotte"
"NFK",3,"Norfolk Island"
"ATF",30,"Glorioso Islands"
"AFG",301,"Afghanistan"
"AND",302,"Andorra"
"ARM",303,"Armenia"
"AUT",304,"Austria"
"BLR",305,"Belarus"
"BTN",306,"Bhutan"
"BOL",307,"Bolivia"
"BWA",308,"Botswana"
"BFA",309,"Burkina Faso"
"SYC",31,"Seychelles"
"BDI",310,"Burundi"
"CAF",311,"Central African Republic"
"TCD",312,"Chad"
"CZE",313,"Czech Republic"
"ETH",314,"Ethiopia"
"HUN",315,"Hungary"
"KGZ",316,"Kyrgyzstan"
"LAO",317,"Laos"
"LIE",318,"Liechtenstein"
"LUX",319,"Luxembourg"
"REU",32,"Reunion"
"MKD",320,"Macedonia"
"MWI",321,"Malawi"
"MLI",322,"Mali"
"MDA",323,"Moldova"
"MNG",324,"Mongolia"
"NPL",325,"Nepal"
"NER",326,"Niger"
"PRY",327,"Paraguay"
"RWA",328,"Rwanda"
"SMR",329,"San Marino"
"ATF",33,"Juan de Nova Island"
"SRB",330,"Serbia"
"SVK",331,"Slovakia"
"CHE",332,"Switzerland"
"TJK",333,"Tajikistan"
"UGA",334,"Uganda"
"UZB",335,"Uzbekistan"
"ZMB",336,"Zambia"
"ZWE",337,"Zimbabwe"
"ATF",34,"Bassas da India"
"ATF",35,"Ile Europa"
"ATF",36,"Ile Tromelin"
"MUS",37,"Mauritius"
"IOT",38,"British Indian Ocean Territory"
"MDV",39,"Maldives"
"AUS",4,"Macquarie Island"
"LKA",40,"Sri Lanka"
"MOZ",41,"Mozambique"
"MDG",42,"Madagascar"
"KEN",43,"Kenya"
"SOM",44,"Somalia"
"ERI",45,"Eritrea"
"DJI",46,"Djibouti"
"YEM",47,"Yemen"
"OMN",48,"Oman"
"SDN",49,"Sudan"
"NCL",5,"New Caledonia"
"SAU",50,"Saudi Arabia"
"KWT",51,"Kuwait"
"BHR",52,"Bahrain"
"PAK",53,"Pakistan"
"ARE",54,"United Arab Emirates"
"PRT",55,"Azores"
"CPV",56,"Cape Verde"
"PRT",57,"Madeira"
"ESP",58,"Canary Islands"
"BEL",59,"Belgium"
"VUT",6,"Vanuatu"
"GIB",60,"Gibraltar"
"TUN",61,"Tunisia"
"MAR",62,"Morocco"
"ESH",63,"Western Sahara"
"MRT",64,"Mauritania"
"GMB",65,"Gambia"
"SEN",66,"Senegal"
"LBY",67,"Libya"
"MLT",68,"Malta"
"LVA",69,"Latvia"
"SLB",7,"Solomon Islands"
"EST",70,"Estonia"
"BGR",71,"Bulgaria"
"ROU",72,"Romania"
"RUS",73,"Russia"
"GEO",74,"Georgia"
"UKR",75,"Ukraine"
"TUR",76,"Turkey"
"SYR",77,"Syria"
"LBN",78,"Lebanon"
"ISR",79,"Israel"
"PLW",8,"Palau"
"GRC",80,"Greece"
"CYP",81,"Cyprus"
"ALB",82,"Albania"
"DZA",84,"Algeria"
"ASC",85,"Ascension"
"SHN",86,"Saint Helena"
"TAA",88,"Tristan da Cunha"
"SGS",89,"South Georgia and the South Sandwich Islands"
"FSM",9,"Micronesia"
"ZAF",90,"Prince Edward Islands"
"ATF",91,"Crozet Islands"
"ATF",92,"Amsterdam Island and Saint Paul Island"
"ATF",93,"Kerguelen Islands"
"HMD",94,"Heard and McDonald Islands"
"FLK",95,"Falkland Islands"
"SLE",96,"Sierra Leone"
"LBR",97,"Liberia"
"TGO",98,"Togo"
"BEN",99,"Benin"
