"crop_number","SPAM_short_name","SPAM_super","SPAM_full_name","FAONAMES","FAO_item_code_NFB","FAO_item_code","GROUP","product_description_FAOSTAT","non_food"
1,"whea","whea","wheat","wheat",2511,15,"cereals","Wheat",NA
1,"whea","whea","wheat","wheat",2511,16,"cereals","Flour, wheat",NA
1,"whea","whea","wheat","wheat",2511,17,"cereals","Bran, wheat",NA
1,"whea","whea","wheat","wheat",2511,19,"cereals","Germ, wheat",NA
1,"whea","whea","wheat","wheat",2511,21,"cereals","Bulgar",NA
1,"whea","whea","wheat","wheat",2511,23,"cereals","Starch, wheat",NA
1,"whea","whea","wheat","wheat",2511,24,"cereals","Gluten, wheat",NA
1,"whea","whea","wheat","wheat",2511,41,"cereals","Cereals, breakfast",NA
2,"rice","rice","rice","rice",2807,27,"cereals","Rice, paddy",NA
2,"rice","rice","rice","rice",2807,28,"cereals","Rice, husked",NA
2,"rice","rice","rice","rice",2807,29,"cereals","Rice, milled/husked",NA
2,"rice","rice","rice","rice",2807,31,"cereals","Rice, milled",NA
2,"rice","rice","rice","rice",2807,32,"cereals","Rice, broken",NA
2,"rice","rice","rice","rice",2807,33,"cereals","Gluten, rice",NA
2,"rice","rice","rice","rice",2807,34,"cereals","Starch, rice",NA
2,"rice","rice","rice","rice",2807,35,"cereals","Bran, rice",NA
2,"rice","rice","rice","rice",2581,36,"cereals","Oil, rice bran",NA
2,"rice","rice","rice","rice",2581,37,"cereals","Cake rice bran",NA
2,"rice","rice","rice","rice",2807,38,"cereals","Flour, rice",NA
3,"maiz","maiz","maize","maize",2514,56,"cereals","Maize",NA
3,"maiz","maiz","maize","maize",2514,57,"cereals","Germ, maize",NA
3,"maiz","maiz","maize","maize",2514,58,"cereals","Flour, maize",NA
3,"maiz","maiz","maize","maize",2514,59,"cereals","Bran, maize",NA
3,"maiz","maiz","maize","maize",2514,61,"cereals","Cake maize",NA
3,"maiz","maiz","maize","maize",2514,63,"cereals","Gluten, maize",NA
3,"maiz","maiz","maize","maize",2514,64,"cereals","Starch, maize",NA
3,"maiz","maiz","maize","maize",2514,846,"cereals","Feed and meal, gluten",NA
3,"maiz","maiz","maize","maize",2582,60,"cereals","Oil, maize",NA
4,"barl","barl","barley","barley",2513,51,"cereals","Beer of barley",NA
4,"barl","barl","barley","barley",2513,50,"cereals","Malt extract",NA
4,"barl","barl","barley","barley",2513,49,"cereals","Malt",NA
4,"barl","barl","barley","barley",2513,48,"cereals","Flour, barley and grits",NA
4,"barl","barl","barley","barley",2513,47,"cereals","Bran, barley",NA
4,"barl","barl","barley","barley",2513,46,"cereals","Barley, pearled",NA
4,"barl","barl","barley","barley",2513,45,"cereals","Barley, pot",NA
4,"barl","barl","barley","barley",2513,44,"cereals","Barley",NA
5,"pmil","xmil","pearl millet","millet",2517,79,"cereals","Millet",NA
6,"smil","xmil","small millet","millet",2517,80,"cereals","Flour, millet",NA
5,"pmil","xmil","pearl millet","millet",2517,81,"cereals","Bran, millet",NA
6,"smil","xmil","small millet","millet",2517,79,"cereals","Millet",NA
5,"pmil","xmil","pearl millet","millet",2517,80,"cereals","Flour, millet",NA
6,"smil","xmil","small millet","millet",2517,81,"cereals","Bran, millet",NA
7,"sorg","sorg","sorghum","sorghum",2518,83,"cereals","Sorghum",NA
7,"sorg","sorg","sorghum","sorghum",2518,84,"cereals","Flour, sorghum",NA
7,"sorg","sorg","sorghum","sorghum",2518,85,"cereals","Bran, sorghum",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,68,"cereals","Popcorn",NA
8,"ocer","ocer","other cereals","other cereals ++",2515,71,"cereals","Rye",NA
8,"ocer","ocer","other cereals","other cereals ++",2515,72,"cereals","Flour, rye",NA
8,"ocer","ocer","other cereals","other cereals ++",2515,73,"cereals","Bran, rye",NA
8,"ocer","ocer","other cereals","other cereals ++",2516,75,"cereals","Oats",NA
8,"ocer","ocer","other cereals","other cereals ++",2516,76,"cereals","Oats rolled",NA
8,"ocer","ocer","other cereals","other cereals ++",2516,77,"cereals","Bran, oats",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,89,"cereals","Buckwheat",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,90,"cereals","Flour, buckwheat",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,91,"cereals","Bran, buckwheat",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,92,"cereals","Quinoa",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,94,"cereals","Fonio",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,95,"cereals","Flour, fonio",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,96,"cereals","Bran, fonio",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,97,"cereals","Triticale",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,98,"cereals","Flour, Triticale",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,99,"cereals","Bran, triticale",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,101,"cereals","Canary seed",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,103,"cereals","Mixed grain",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,104,"cereals","Flour, mixed grain",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,105,"cereals","Bran, mixed grains",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,108,"cereals","Cereals, nes",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,111,"cereals","Flour, ceraals",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,112,"cereals","Bran, cereals, nes",NA
8,"ocer","ocer","other cereals","other cereals ++",2520,113,"cereals","Cereal preparations, nes",NA
9,"pota","pota","potato","potato",2531,116,"roots&tubers or starchy roots","Potatoes",NA
9,"pota","pota","potato","potato",2531,117,"roots&tubers or starchy roots","Flour, potatoes",NA
9,"pota","pota","potato","potato",2531,118,"roots&tubers or starchy roots","Potatoes, frozen",NA
9,"pota","pota","potato","potato",2531,119,"roots&tubers or starchy roots","Starch, potatoes",NA
9,"pota","pota","potato","potato",2531,121,"roots&tubers or starchy roots","Tapioca, potatoes",NA
10,"swpo","swpo","sweet potato","sweet potato",2533,122,"roots&tubers or starchy roots","Sweet potatoes",NA
11,"yams","yams","yams","yam",2535,137,"roots&tubers or starchy roots","Yams",NA
12,"cass","cass","cassava","cassava",2532,129,"roots&tubers or starchy roots","Starch, cassava",NA
12,"cass","cass","cassava","cassava",2532,128,"roots&tubers or starchy roots","Cassava, dried",NA
12,"cass","cass","cassava","cassava",2532,127,"roots&tubers or starchy roots","Tapioca, cassava",NA
12,"cass","cass","cassava","cassava",2532,126,"roots&tubers or starchy roots","Flour, cassava",NA
12,"cass","cass","cassava","cassava",2532,125,"roots&tubers or starchy roots","Cassava",NA
13,"orts","orts","other roots","yautia ++",2534,135,"roots&tubers or starchy roots","Yautia (Cocoyam)",NA
13,"orts","orts","other roots","yautia ++",2534,136,"roots&tubers or starchy roots","Taro (Cocoyam)",NA
13,"orts","orts","other roots","yautia ++",2534,149,"roots&tubers or starchy roots","Roots and tubers nes",NA
13,"orts","orts","other roots","yautia ++",2534,150,"roots&tubers or starchy roots","Flour, roots and tubers nes",NA
13,"orts","orts","other roots","yautia ++",2534,151,"roots&tubers or starchy roots","Roots and tubers dried",NA
14,"bean","xpul","bean","beans, dry",2546,176,"pulses","Beans, dry",NA
15,"chic","xpul","chickpea","chickpea",2549,191,"pulses","Chick-peas, dry",NA
16,"cowp","xpul","cowpea","cowpea",2549,195,"pulses","Cow peas, dry",NA
17,"pige","xpul","pigeonpea","pigeon pea",2549,197,"pulses","Pigeon peas",NA
18,"lent","xpul","lentil","lentils",2549,201,"pulses","Lentils, dry",NA
19,"opul","opul","other pulses","broad beans ++",2549,181,"pulses","Broad beans, dry",NA
19,"opul","opul","other pulses","broad beans ++",2547,187,"pulses","Peas, dry",NA
19,"opul","opul","other pulses","broad beans ++",2549,203,"pulses","Bambara beans",NA
19,"opul","opul","other pulses","broad beans ++",2549,205,"pulses","Vetches",NA
19,"opul","opul","other pulses","broad beans ++",2549,210,"pulses","Lupins",NA
19,"opul","opul","other pulses","broad beans ++",2549,211,"pulses","Pulses nes",NA
19,"opul","opul","other pulses","broad beans ++",2549,212,"pulses","Flour, pulses",NA
19,"opul","opul","other pulses","broad beans ++",2549,213,"pulses","Bran, pulses",NA
20,"soyb","soyb","soybean","soybean",2571,237,"oilcrops","Soybeans oil",NA
20,"soyb","soyb","soybean","soybean",2571,238,"oilcrops","Soybeans cake",NA
20,"soyb","soyb","soybean","soybean",2555,236,"oilcrops","Soybeans",NA
20,"soyb","soyb","soybean","soybean",2555,239,"oilcrops","Soya sauce",NA
20,"soyb","soyb","soybean","soybean",2555,240,"oilcrops","Soya paste",NA
20,"soyb","soyb","soybean","soybean",2555,241,"oilcrops","Soya curd",NA
21,"grou","xoil","groundnut","groundnut, with shell",2572,244,"oilcrops","Oil, groundnut",NA
21,"grou","xoil","groundnut","groundnut, with shell",2572,245,"oilcrops","Cake groundnuts",NA
21,"grou","xoil","groundnut","groundnut, with shell",2552,242,"oilcrops","Groundnuts, in shell",NA
21,"grou","xoil","groundnut","groundnut, with shell",2552,243,"oilcrops","Groundnuts, shelled",NA
21,"grou","xoil","groundnut","groundnut, with shell",2552,246,"oilcrops","Groundnuts, prepared",NA
21,"grou","xoil","groundnut","groundnut, with shell",2552,247,"oilcrops","Peanut butter",NA
22,"cnut","cnut","coconut","coconut",2578,252,"oilcrops","Coconut oil",NA
22,"cnut","cnut","coconut","coconut",2560,249,"oilcrops","Coconuts",NA
22,"cnut","cnut","coconut","coconut",2560,250,"oilcrops","Coconuts, desiccated",NA
22,"cnut","cnut","coconut","coconut",2560,251,"oilcrops","Copra",NA
22,"cnut","cnut","coconut","coconut",2560,253,"oilcrops","Cake copra",NA
23,"oilp","oilp","oilpalm","palmoil",2562,254,"oilcrops","[Oil palm fruit]",NA
23,"oilp","oilp","oilpalm","palmoil",2562,256,"oilcrops","Palm kernals",NA
23,"oilp","oilp","oilpalm","palmoil",2577,257,"oilcrops","Oil, palm",NA
23,"oilp","oilp","oilpalm","palmoil",2576,258,"oilcrops","Oil, palm kernal",NA
23,"oilp","oilp","oilpalm","palmoil",2576,259,"oilcrops","Cake palm kernal",NA
23,"oilp","oilp","oilpalm","palmoil",2577,1276,"oilcrops","Fatty acids",NA
23,"oilp","oilp","oilpalm","palmoil",2577,1277,"oilcrops","Fatty substance residues",NA
24,"sunf","sunf","sunflower","sunflower seed",2557,267,"oilcrops","Sunflower seed",NA
25,"rape","rape","rapeseed","rapeseed",2558,270,"oilcrops","Rapeseed or colza seed",NA
25,"rape","rape","rapeseed","rapeseed",2558,292,"oilcrops","Mustard seed",NA
25,"rape","rape","rapeseed","rapeseed",2558,295,"oilcrops","Flour, mustard",NA
26,"sesa","xoil","sesameseed","sesame seed",2561,289,"oilcrops","Sesame seed",NA
28,"sugc","sugc","sugarcane","sugar cane",2536,156,"sugar crops","Sugar cane",NA
28,"sugc","sugc","sugarcane","sugar cane",2542,158,"sugar crops","Sugar, cane, raw, centrifugal","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,161,"sugar crops","Sugar crops nes","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,162,"sugar crops","Sugar Raw Centrifugal","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2541,163,"sugar crops","Sugar non-centrugal","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,164,"sugar crops","Sugar refined","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,168,"sugar crops","Sugar confectionary","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,171,"sugar crops","Sugar flavored","nonfood"
28,"sugc","sugc","sugarcane","sugar cane",2542,165,"sugar crops","Molasses","nonfood"
29,"sugb","sugb","sugarbeet","sugarbeet",2537,157,"sugar crops","Sugar beet",NA
29,"sugb","sugb","sugarbeet","sugarbeet",2537,169,"sugar crops","Beet pulp",NA
30,"cott","xoil","cotton","seed cotton",NA,328,"fibres","[Seed Cotton]",NA
32,"acof","xcof","arabica coffee","coffee",2630,659,"stimulant","Coffee, extracts","nonfood"
33,"rcof","xcof","robusta coffee","coffee",2630,659,"stimulant","Coffee, extracts","nonfood"
32,"acof","xcof","arabica coffee","coffee",2630,657,"stimulant","Coffee roasted","nonfood"
33,"rcof","xcof","robusta coffee","coffee",2630,657,"stimulant","Coffee roasted","nonfood"
32,"acof","xcof","arabica coffee","coffee",2630,656,"stimulant","Coffee green","nonfood"
33,"rcof","xcof","robusta coffee","coffee",2630,656,"stimulant","Coffee green","nonfood"
34,"coco","coco","cocoa","cocoa",2633,661,"stimulant","Cocoa beans",NA
34,"coco","coco","cocoa","cocoa",2633,662,"stimulant","Cocoa, paste",NA
34,"coco","coco","cocoa","cocoa",2633,664,"stimulant","Cocoa butter",NA
34,"coco","coco","cocoa","cocoa",2633,665,"stimulant","Cocoa , powder & cacke",NA
34,"coco","coco","cocoa","cocoa",2633,666,"stimulant","Chocolate products nes",NA
35,"teas","teas","tea","tea",2635,667,"stimulant","Tea","nonfood"
36,"toba","toba","tobacco","tobacco leaves",NA,826,"stimulant","Tobacco leaves","nonfood"
37,"bana","bana","banana","banana",2615,486,"fruits","Bananas",NA
38,"plnt","plnt","plantain","plantain",2616,489,"fruits","Plantains",NA
40,"temf","xfru","temperate fruit","apples ++",2625,592,"fruits","Kiwi fruit",NA
40,"temf","xfru","temperate fruit","apples ++",2625,619,"fruits","Fruit, fresh nes",NA
40,"temf","xfru","temperate fruit","apples ++",2625,620,"fruits","Fruit, dried nes",NA
40,"temf","xfru","temperate fruit","apples ++",2625,622,"fruits","Juice, fruit nes",NA
40,"temf","xfru","temperate fruit","apples ++",2625,623,"fruits","Fruit, prepared nes",NA
40,"temf","xfru","temperate fruit","apples ++",2625,624,"fruits","Flour, fruit",NA
40,"temf","xfru","temperate fruit","apples ++",2625,625,"fruits","Fruits, nuts, peel, sugar preserved",NA
40,"temf","xfru","temperate fruit","apples ++",2625,626,"fruits","Fruit, cooked, homogenized preparations",NA
27,"ooil","ooil","other oil crops","olives ++",2563,260,"oilcrops","Olives",NA
27,"ooil","ooil","other oil crops","olives ++",2580,261,"oilcrops","Oil of Olives, Virgin",NA
27,"ooil","ooil","other oil crops","olives ++",2563,262,"oilcrops","Olives, Preserved",NA
27,"ooil","ooil","other oil crops","olives ++",2570,263,"oilcrops","Karite Nuts (Sheanuts)",NA
27,"ooil","ooil","other oil crops","olives ++",2586,264,"oilcrops","Butter of Karite Nuts",NA
27,"ooil","ooil","other oil crops","olives ++",2570,265,"oilcrops","Castor Beans",NA
27,"ooil","ooil","other oil crops","olives ++",2586,266,"oilcrops","Oil of Castor Beans",NA
27,"ooil","ooil","other oil crops","olives ++",2573,268,"oilcrops","Oil of Sunflower Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2573,269,"oilcrops","Cake of Sunflower Seed",NA
27,"rape","rape","rapeseed","rapeseed",2574,271,"oilcrops","Oil of Rapeseed or Canola oil",NA
27,"rape","rape","rapeseed","rapeseed",2574,272,"oilcrops","Cake of Rapeseed",NA
27,"ooil","ooil","other oil crops","olives ++",2580,273,"oilcrops","Olive Residues",NA
27,"ooil","ooil","other oil crops","olives ++",2580,274,"oilcrops","Oil of Olive Residues",NA
27,"ooil","ooil","other oil crops","olives ++",2570,275,"oilcrops","Tung Nuts",NA
27,"ooil","ooil","other oil crops","olives ++",2586,276,"oilcrops","Oil of Tung Nuts",NA
27,"ooil","ooil","other oil crops","olives ++",2570,277,"oilcrops","Jojoba Seeds",NA
27,"ooil","ooil","other oil crops","olives ++",2586,278,"oilcrops","Jojoba Oil",NA
27,"ooil","ooil","other oil crops","olives ++",NA,279,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2570,280,"oilcrops","Safflower seed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,281,"oilcrops","Oil of Safflower Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,282,"oilcrops","Cake of Safflower Seed",NA
27,"ooil","ooil","other oil crops","olives ++",NA,283,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,284,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,285,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,286,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,287,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,288,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2579,290,"oilcrops","Oil of Sesame Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2579,291,"oilcrops","Cake of Sesame Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2574,293,"oilcrops","Oil of Mustard Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2574,294,"oilcrops","Cake of Mustard Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2570,296,"oilcrops","Poppy seed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,297,"oilcrops","Oil of Poppy Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,298,"oilcrops","Cake of Poppy Seed",NA
27,"ooil","ooil","other oil crops","olives ++",2570,299,"oilcrops","Melonseed",NA
27,"ooil","ooil","other oil crops","olives ++",NA,300,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,301,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,302,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,303,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,304,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2570,305,"oilcrops","Tallowtree Seeds",NA
27,"ooil","ooil","other oil crops","olives ++",2586,306,"oilcrops","Vegetable tallow",NA
27,"ooil","ooil","other oil crops","olives ++",2586,307,"oilcrops","Stillingia oil",NA
27,"ooil","ooil","other oil crops","olives ++",NA,308,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,309,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2570,310,"oilcrops","Kapok fruit",NA
27,"ooil","ooil","other oil crops","olives ++",2570,311,"oilcrops","Kapokseed,in shell",NA
27,"ooil","ooil","other oil crops","olives ++",2570,312,"oilcrops","Kapokseed, shelled",NA
27,"ooil","ooil","other oil crops","olives ++",2586,313,"oilcrops","Oil of Kapok",NA
27,"ooil","ooil","other oil crops","olives ++",2586,314,"oilcrops","Cake of Kapok",NA
27,"ooil","ooil","other oil crops","olives ++",NA,315,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,316,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,317,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,318,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,319,"oilcrops",NA,NA
